event_id,user_id,session_id,event_type,event_timestamp,product_id,country,device,channel
9bd8725f-5722-41b7-8d95-a5dafec33a56,482c0ae4-ac6c-4eb3-91fe-b0e63c1c2a5d,98b232db-5bec-41d8-88e1-5d2e98899e29,product_view,2025-09-22 16:35:27,P1208,US,IOS,paid_search
f6dc704c-a88c-4668-b89d-e6b08e7e02d4,ff6c808d-fa75-4202-801f-a076299a2c0f,d4832af2-0aad-489c-8eb6-22d243f5f5c4,page_view,2025-06-04 21:55:04,,ID,android,referral
abb69be8-df83-420b-92f7-149d29a6d32f,78ea2c10-e824-4b3c-b74b-cdb0cbab0610,1f6c5b12-6c79-4b29-bae6-878804723e55,page_view,2025-06-24 2:02:51,,AU,IOS,paid_search
76fd2399-0f80-4184-8802-90dac9bf52d3,9c63419c-b3dc-44a6-b8a5-a438e82afee8,ed1c4ded-cf67-463e-b94f-4cebcf62d827,page_view,2025-06-05 12:35:33,,VN,IOS,organic
26dcc5fa-334c-420c-be1e-a40eb4b9efac,f9aee3bb-2ba4-4bb3-9eec-44ba4664f93b,9a469fb9-6cf4-4818-b0a6-7302b0bd665a,product_view,2025-07-02 12:19:23,P1315,ID,desktop,social
86cffeab-c64e-4abe-be85-8553c84417e2,d34c7eab-af4a-40ee-b59d-b1f764227fab,f56f38b4-4320-46db-95f4-76263fe7bd42,purchase,2025-08-27 21:51:21,P1144,PH,IOS,organic
c8073c50-01d3-4683-983a-3d1383c173d4,bb36401f-3a29-4868-b34d-ad8a9ce6f8dd,6cbc0241-d60c-4c88-a2f2-b6abc6a6231c,product_view,2025-05-03 9:27:43,P1192,SG,android,direct
d74091e8-38e9-434c-be25-537b442df825,bc073178-e3c6-4701-bedc-6efb6007a28a,8dbbfa2a-8e8c-46e3-b959-81ea46697a16,login,2025-05-02 5:35:32,,ID,IOS,organic
10ae191f-e2c5-44e2-91fd-8db7d3bb4e18,0bb46c83-dc58-477c-87d0-ddb939174774,940ad560-99e8-4538-a9db-dbe30e2bb007,page_view,2025-05-01 6:23:57,,ID,IOS,referral
7acf8e8f-b595-4754-8f36-b183f030fa97,7928b4be-10ed-49ce-85bd-81abd02281d4,3f8ba03c-7d05-4b6e-8bd8-f71f9b05bebf,checkout,2025-09-23 6:44:45,P1468,US,desktop,email
b532062b-aced-46cc-89f2-b52ec9340835,25086909-bab6-4d11-b3c9-a1c5d40bb45e,173a4805-c67a-47f7-a7e6-b765521d959b,search,2025-08-26 1:44:35,,ID,android,paid_search
7404b4ae-c34c-4d74-8c21-9497e1a36795,f9480c63-fd75-431b-bdf3-b90b36014eca,d8d5de99-5b66-437c-a264-5fb98aef307c,page_view,2025-05-10 11:41:50,,ID,IOS,email
57f38a3b-ff98-473b-8a71-5306b8fe31fe,f77399ba-5fb9-4da7-8cc0-56196dfe997f,17bcea2f-add7-4df8-968b-d0641592b935,add_to_cart,2025-07-27 3:41:44,P1450,US,android,organic
ecb7ba18-21e3-469d-b0c6-f144ec2926d2,c9d6ea82-cbd3-4f1b-ad19-c0a1d670c188,845ced89-1ba0-43d7-9d42-ea0acd31b297,add_to_cart,2025-04-18 9:22:58,P1182,PH,IOS,organic
e6115630-5b54-405c-be47-eda4d30ddfcf,2a102ab2-84ae-435a-a824-8947890ea20b,38d22601-54ff-4e8e-8b41-f377bb92aab3,page_view,2025-07-30 5:31:33,,ID,IOS,referral
adad9ddd-e7f0-4c6b-80c1-029211f1db15,63d59731-03d7-4e5f-8ed0-087638d1efb8,ff4fc0ce-da3e-4b62-b818-304953b0bb47,product_view,2025-07-14 23:28:35,P1163,VN,android,paid_search
16ed2978-d493-4fee-b81f-6a334b08717d,a8aa429b-0ca4-4dd2-8302-03ff55e35fba,6f6c1356-0328-4a4f-8669-e4320279de6a,login,2025-08-15 11:33:48,,MY,desktop,organic
fbe52af8-9a39-4164-bb77-33d11a0c847a,859ddb75-d67b-4075-bdd8-0f03d079cb23,fb8d480f-671d-4862-b426-55980f5543fc,page_view,2025-08-13 11:46:46,,US,android,referral
f9c5b4f4-d4db-4498-87d2-7cc424652eb0,a202b0d2-b3ac-42a9-aa6d-8ce136083a0b,7d9f2810-e091-4dbc-b4a4-05f2a876e905,logout,2025-08-13 7:05:39,,VN,IOS,email
